lat,lon,university,fuel,cafe,parking,parking_entrance,fast_food,marketplace,restaurant,hospital,school,kindergarten,townhall - community_centre,police,place_of_worship,bank,atm
20.7843801,105.8873591,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
20.9822339,105.8329004,1,5,10,7,0,1,2,1,0,6,4,0,3,0,7,6
21.0652855,105.8976832,0,3,3,2,0,0,1,1,3,15,2,0,3,4,0,10
21.0329881,105.798454,2,0,26,11,1,7,3,17,2,15,5,0,4,15,10,34
21.0485044,105.7955963,3,4,14,33,7,2,2,10,2,8,7,0,2,3,7,15
10.803986,106.685425,2,4,30,0,0,4,3,29,5,17,2,0,1,24,21,18
20.965011,105.775271,1,1,8,1,0,1,2,8,6,16,0,0,3,2,3,14
21.0074016,105.7769326,0,0,6,3,7,1,2,7,1,7,0,0,1,4,1,4
21.0335683,105.72768,0,0,0,0,0,0,0,0,0,2,1,0,1,9,0,0
10.975818,106.490351,0,2,2,0,0,0,0,1,0,2,0,0,0,1,0,0
20.999416,105.825194,2,0,8,4,0,7,2,20,3,14,2,0,3,2,15,37
21.0190665,105.828982,4,4,35,5,3,5,4,40,2,24,5,0,8,18,27,44
21.1779073,105.8519161,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0
21.0244918,105.8271796,3,5,30,6,1,7,2,43,1,19,4,0,7,17,27,83
21.0428539,105.7966892,4,4,33,27,7,8,3,19,0,11,9,0,4,8,13,37
10.807598,106.634793,4,3,3,4,0,1,1,3,0,13,1,0,0,1,3,4
10.7928767,106.624282,0,5,6,0,0,2,2,5,0,18,3,0,1,4,0,4
21.000282,105.830805,3,0,12,6,0,3,3,9,9,11,3,0,5,1,27,33
10.827507,106.684006,2,11,16,2,0,3,2,9,3,14,3,0,0,5,13,11
21.018213,105.824451,5,4,33,5,2,6,3,50,4,20,2,0,9,9,28,76
10.805566,106.69605,3,10,11,0,0,7,2,9,5,12,0,0,1,13,11,9
21.0605354,105.9170945,0,0,10,9,0,0,1,8,0,7,4,0,1,1,0,0
20.9471164,105.8543427,0,0,1,0,0,0,1,0,2,6,6,0,1,2,1,1
10.763507,106.698956,4,4,126,14,0,21,9,202,5,22,6,0,13,49,70,43
21.0088967,105.8389823,5,0,54,23,6,11,3,37,9,19,10,0,6,5,24,41
20.9806038,105.8023926,4,1,3,0,0,1,0,3,0,10,4,0,4,4,1,9
10.79177,106.6906264,2,4,75,3,0,18,3,97,4,20,2,0,0,26,33,26
10.814692,106.671978,3,4,21,15,3,7,0,13,1,7,0,0,2,5,1,23
21.0438779,105.7942822,6,5,50,35,12,10,3,33,2,10,12,0,3,4,9,29
21.032632,105.759432,3,0,3,3,0,1,0,3,1,13,2,0,3,3,2,2
10.828158,106.631981,0,5,3,2,0,1,1,3,0,7,0,0,0,2,0,6
21.0087184,105.7972793,3,2,31,10,4,4,6,30,0,18,10,0,4,1,14,24
20.978411,105.773994,2,3,2,1,0,1,0,5,3,14,2,0,0,4,1,11
10.7274095,106.7284017,2,5,8,7,0,1,0,12,1,13,0,0,1,0,8,5
10.843807,106.730597,0,1,5,0,0,1,0,1,0,2,0,0,0,3,0,0
21.071322,105.793428,2,4,3,3,0,0,1,1,0,5,3,0,0,0,0,0
10.7517388,106.6980461,0,5,13,7,0,3,4,15,2,13,4,0,2,24,3,6
20.9525077,105.7378002,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0
20.9837785,105.8494923,0,3,1,2,0,1,0,3,1,13,6,0,2,1,8,10
21.2104199,105.6990141,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
21.0284277,105.897623,0,1,3,5,0,7,0,35,0,2,2,0,0,0,1,1
20.984226,105.846154,1,5,2,2,0,1,0,3,1,11,6,0,1,1,10,13
21.0419084,105.8472478,0,3,121,8,1,59,6,214,7,22,9,0,11,30,41,92
20.984906,105.828681,0,3,10,6,0,1,2,1,1,6,4,0,2,0,6,1
21.0138811,105.7976963,2,3,36,15,3,4,7,37,0,19,12,0,4,3,6,24
20.970084,105.75447,1,1,3,1,1,0,1,5,0,5,1,0,0,1,0,0
21.0340636,105.8546816,0,0,258,13,0,76,9,391,4,20,5,0,13,38,46,242
20.985578,105.798779,8,1,3,0,1,2,1,6,3,15,6,0,5,7,2,29
10.706898,106.703208,0,0,3,0,0,0,0,1,1,3,0,0,0,0,0,1
21.1341191,105.4339988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.791658,106.676648,4,5,61,3,2,4,3,41,4,19,1,0,2,42,30,18
10.7687274,106.7205034,0,0,1,0,0,0,0,3,0,0,0,0,1,1,0,1
10.78144,106.674664,4,4,44,0,0,3,3,44,4,15,3,0,2,25,25,9
10.819417,106.678776,5,4,9,0,0,2,1,2,1,10,1,0,1,7,6,8
21.004339,105.793274,2,2,11,7,4,1,3,2,1,11,6,0,1,2,3,12
10.7307449,106.7320349,0,7,3,2,0,1,0,3,1,6,1,0,1,0,3,1
21.000423,105.81405,3,5,10,0,4,18,5,35,3,25,4,0,8,6,7,21
