model_name,city,version,rmse,max_error,explained_variance_score
rf,hcm,1,61.23956180736232,791.1115557680171,0.8160901141948069
ridge,hcm,1,80.03025026682987,887.5516840605487,0.6872774246780913
xgb,hcm,1,60.56853576909897,687.5549621582031,0.820157712328793
bagging,hcm,1,60.17008483235025,712.2338378182785,0.8224436854381679
BKPrice Post Processing,hcm,1,44.9369495770903,612.8524397698095,0.9009324359252032
abr,hn,1,106.30692922028386,457.4460436133819,0.6166059685464018
cat,hn,1,56.55284322098553,485.3882280306465,0.83247930367698
etr,hn,1,59.07188799536566,521.1316738816738,0.8163689078977429
gbr,hn,1,57.962666313497216,571.4624797876061,0.8245445020391056
knr,hn,1,110.79513140729766,832.7707396552681,0.3647001423198808
la,hn,1,83.88935280517777,590.9647788048649,0.6331013821392737
lgbm,hn,1,56.08493349454084,448.76801346606607,0.8353006087869937
linear,hn,1,82.41044107627287,570.4649524232832,0.6463628447732739
mlp,hn,1,71.72209359504942,517.4129255379083,0.7342217384968974
rf,hn,1,57.17826280535368,505.7743345617933,0.8280706270882865
ridge,hn,1,82.38706481638138,570.7806892282847,0.6465361358068349
xgb,hn,1,55.82427591629271,451.68548583984375,0.8368523628932175
bagging,hn,1,55.54824827451155,451.8770011027962,0.8383258776906856
BKPrice Post Processing,hn,1,41.350381392907984,364.7925531539598,0.9100205029303136
abr,hcm,2,91.405039473506,833.2966052727988,0.6440304681778664
cat,hcm,2,64.11767672194189,803.74653103406,0.7983714871015607
etr,hcm,2,64.3143896926455,887.172096048387,0.7971054847321684
gbr,hcm,2,63.26291791531816,618.3412839093885,0.8043176968510065
knr,hcm,2,113.75797686003844,832.7482968800507,0.3788199602743808
la,hcm,2,81.07249634659806,890.6808957903058,0.6785654509420808
lgbm,hcm,2,60.87533089735162,826.027923000413,0.8183471921870866
linear,hcm,2,79.94654870799651,887.9786348342896,0.6884314928215264
mlp,hcm,2,76.52701670967906,851.6565991588933,0.7137833634805869
rf,hcm,2,61.54967235733912,790.0540161301609,0.8141699171811148
ridge,hcm,2,79.98494573289207,888.7480876818154,0.6875892394085452
xgb,hcm,2,60.66954607951236,655.3077697753906,0.8195537584535444
bagging,hcm,2,60.25009144341208,687.2236612237598,0.8219616043435535
BKPrice Post Processing,hcm,2,45.02007222963291,621.0205515360291,0.90058169004841
abr,hn,2,123.58011678199432,440.6678695723133,0.6123323768362106
cat,hn,2,56.28378763562695,528.9228387068943,0.8343365253850348
etr,hn,2,59.68699289971834,553.8483870967743,0.8125993579172166
gbr,hn,2,58.20517569939528,596.1906065255312,0.8230626147102945
knr,hn,2,110.79503906013151,832.7707396552681,0.3647011018557983
la,hn,2,83.88935224078055,590.9647970639382,0.6331013870237668
lgbm,hn,2,56.133157176386135,450.0171402048568,0.8350081729632071
linear,hn,2,82.2634683989277,571.0648523853674,0.6474797063280087
mlp,hn,2,70.33063155805061,514.8407092260957,0.7402659629643116
rf,hn,2,57.067839871109,509.0062599381165,0.828717368292091
ridge,hn,2,82.2538973605799,571.4459318137892,0.6475393108199698
xgb,hn,2,55.92506136390403,469.4837646484375,0.8363453508553376
bagging,hn,2,55.60674951965224,473.4810096099251,0.8380345099792282
BKPrice Post Processing,hn,2,41.7809202132938,387.695156185853,0.908173574215042
abr,hcm,4,94.65448063841556,841.4159945371904,0.6240008182848
cat,hcm,4,65.77341734500264,807.5625562588057,0.7877896336016006
etr,hcm,4,68.365595440494,904.364625029226,0.7706432817555182
gbr,hcm,4,65.50459238077981,685.5835389657188,0.7906320915485612
knr,hcm,4,94.5338993338839,850.691900915953,0.5691268260969773
la,hcm,4,84.48207633494324,874.4892306267782,0.6512499249454959
lgbm,hcm,4,61.942398053336326,793.2099147587834,0.8119968920328003
linear,hcm,4,83.99252946969591,869.8563364717047,0.6552146625081986
mlp,hcm,4,75.13910856136617,828.2866806396632,0.7283465469595443
rf,hcm,4,62.4562031002875,834.3985139821283,0.808672127864757
ridge,hcm,4,83.99457894561647,869.9961756773992,0.655193285642668
xgb,hcm,4,61.39265063519337,599.4156596574664,0.8152043898646604
bagging,hcm,4,61.07196989563021,621.6815683908214,0.8170988087011595
BKPrice Post Processing,hcm,4,47.85593090827363,633.0554326168156,0.8876139541699201
abr,hn,4,104.3359893017145,467.9334517446445,0.5855598237579174
cat,hn,4,58.91200925606832,497.12077613576525,0.8183651423767817
etr,hn,4,63.66017307783621,548.4013038265356,0.7868289324353506
gbr,hn,4,60.39223987453189,553.5851526344306,0.8092127002598387
knr,hn,4,101.75534267577216,664.8991026436393,0.4605483584872355
